Record Type,Record Version,Time Stamp,Premise ID,ESIID,Provisioned,Meter ID,Purpose,Commodity,Units,Calculation Constant,Interval,Count,FirstIntervalDateTime,Data
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,IRN (A),,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,IYN (A),,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,IBN (A),,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,VRN (V),,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,VYN (V),,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,VBN (V),,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,BlkEngy_I/F (kWh),,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,BlkEngy_I/F (kVAh),,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,Avg_Neutral_Current(A),,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,Avg_R_Ph_THDV,,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,Avg_Y_Ph_THDV,,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,Avg_B_Ph_THDV,,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,Avg_R_Ph_THDI,,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,Avg_Y_Ph_THDI,,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,Avg_B_Ph_THDI,,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,PowerFactorTotalAvgLP,,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,IRN (A),,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,IYN (A),,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,IBN (A),,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,VRN (V),,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,VYN (V),,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,VBN (V),,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,BlkEngy_I/F (kWh),,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,BlkEngy_I/F (kVAh),,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,Avg_Neutral_Current(A),,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,Avg_R_Ph_THDV,,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,Avg_Y_Ph_THDV,,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,Avg_B_Ph_THDV,,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,Avg_R_Ph_THDI,,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,Avg_Y_Ph_THDI,,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,Avg_B_Ph_THDI,,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,PowerFactorTotalAvgLP,,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,IRN (A),,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,IYN (A),,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,IBN (A),,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,VRN (V),,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,VYN (V),,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,VBN (V),,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,BlkEngy_I/F (kWh),,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,BlkEngy_I/F (kVAh),,000030,8,05182025080000PM,
MEPMD01,20080519,05182025115900PM,200001320078,60013153709,5001317990,95400272,OK,E,Avg_Neutral_Current(A),,000030,8,05182025080000PM,
