Time,VR (V),VY (V),VB (V),IR (A),IY (A),IB (A),kWh
09:00,241.0,238.2,236.3,11.45,7.43,11.57,0.41
09:30,239.7,243.9,239.4,10.49,7.13,10.16,0.72
10:00,241.3,240.5,240.5,9.32,9.55,11.23,1.21
10:30,243.0,241.1,239.3,8.25,8.26,11.58,1.7
11:00,239.5,238.2,238.8,9.24,9.03,9.27,1.98
11:30,239.5,239.9,238.4,9.3,10.63,8.44,2.32
12:00,243.2,241.2,236.0,10.92,8.0,8.91,2.62
12:30,241.5,238.7,237.6,10.55,8.64,9.71,2.9
13:00,239.1,241.8,238.1,11.55,10.02,11.27,3.11
13:30,241.1,239.8,241.1,9.89,7.92,11.44,3.49
14:00,239.1,240.4,239.7,8.48,7.31,8.03,3.85
14:30,239.1,239.8,235.5,10.85,8.16,10.04,4.06
15:00,240.5,244.7,239.6,11.04,7.64,9.67,4.34
15:30,236.2,241.0,238.2,10.25,10.72,8.89,4.82
16:00,236.6,238.9,237.6,11.08,10.23,8.48,5.09
16:30,238.9,242.6,240.2,9.98,9.53,9.35,5.33
17:00,238.0,238.6,241.1,10.09,10.49,11.77,5.68
17:30,240.6,241.4,240.9,9.71,10.21,9.29,6.17
18:00,238.2,237.1,237.3,8.1,7.75,10.08,6.45
